yourlist:M20200414DA437993067D6F64326E5E763500BDED121471F	isomap:M20200414DA437993067D6F64326E5E763500BDED121471F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSP00000282641	ENSP00000282641 -> Q9NQ94-2	Q9NQ94	A1CF_HUMAN	reviewed	APOBEC1 complementation factor (APOBEC1-stimulating protein)	A1CF ACF ASP	Homo sapiens (Human)	594
ENSP00000323929		P01023	A2MG_HUMAN	reviewed	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M CPAMD5 FWP007	Homo sapiens (Human)	1474
ENSP00000209873	ENSP00000209873 -> Q9NRG9-1	Q9NRG9	AAAS_HUMAN	reviewed	Aladin (Adracalin)	AAAS ADRACALA GL003	Homo sapiens (Human)	546
ENSP00000261880	ENSP00000261880 -> Q6PD74-1	Q6PD74	AAGAB_HUMAN	reviewed	Alpha- and gamma-adaptin-binding protein p34	AAGAB	Homo sapiens (Human)	315
ENSP00000386456	ENSP00000386456 -> Q2M2I8-1	Q2M2I8	AAK1_HUMAN	reviewed	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	AAK1 KIAA1048	Homo sapiens (Human)	961
ENSP00000250615	ENSP00000250615 -> Q16613-2	Q16613	SNAT_HUMAN	reviewed	Serotonin N-acetyltransferase (Serotonin acetylase) (EC 2.3.1.87) (Aralkylamine N-acetyltransferase) (AA-NAT)	AANAT SNAT	Homo sapiens (Human)	207
ENSP00000261772	ENSP00000261772 -> P49588-1	P49588	SYAC_HUMAN	reviewed	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)	AARS1 AARS	Homo sapiens (Human)	968
ENSP00000205214	ENSP00000205214 -> Q4L235-1	Q4L235	ACSF4_HUMAN	reviewed	Beta-alanine-activating enzyme (EC 6.2.1.-) (Acyl-CoA synthetase family member 4) (Protein NRPS998)	AASDH ACSF4 U26 HSPC318	Homo sapiens (Human)	1098
ENSP00000324196	ENSP00000324196 -> Q6ZMQ8-1	Q6ZMQ8	LMTK1_HUMAN	reviewed	Serine/threonine-protein kinase LMTK1 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase) (AATYK) (Brain apoptosis-associated tyrosine kinase) (CDK5-binding protein) (Lemur tyrosine kinase 1) (p35-binding protein) (p35BP)	AATK AATYK KIAA0641 LMR1 LMTK1	Homo sapiens (Human)	1374
ENSP00000363868		O95477	ABCA1_HUMAN	reviewed	Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	Homo sapiens (Human)	2261
ENSP00000269081	ENSP00000269081 -> Q8WWZ4-1	Q8WWZ4	ABCAA_HUMAN	reviewed	ATP-binding cassette sub-family A member 10	ABCA10	Homo sapiens (Human)	1543
ENSP00000272895	ENSP00000272895 -> Q86UK0-1	Q86UK0	ABCAC_HUMAN	reviewed	ATP-binding cassette sub-family A member 12 (ATP-binding cassette transporter 12) (ATP-binding cassette 12)	ABCA12 ABC12	Homo sapiens (Human)	2595
ENSP00000344155	ENSP00000344155 -> Q9BZC7-3	Q9BZC7	ABCA2_HUMAN	reviewed	ATP-binding cassette sub-family A member 2 (ATP-binding cassette transporter 2) (ATP-binding cassette 2)	ABCA2 ABC2 KIAA1062	Homo sapiens (Human)	2435
ENSP00000301732	ENSP00000301732 -> Q99758-1	Q99758	ABCA3_HUMAN	reviewed	ATP-binding cassette sub-family A member 3 (ABC-C transporter) (ATP-binding cassette transporter 3) (ATP-binding cassette 3)	ABCA3 ABC3	Homo sapiens (Human)	1704
ENSP00000359245		P78363	ABCA4_HUMAN	reviewed	Retinal-specific phospholipid-transporting ATPase ABCA4 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM protein) (RmP) (Retinal-specific ATP-binding cassette transporter) (Stargardt disease protein)	ABCA4 ABCR	Homo sapiens (Human)	2273
ENSP00000263094	ENSP00000263094 -> Q8IZY2-1	Q8IZY2	ABCA7_HUMAN	reviewed	Phospholipid-transporting ATPase ABCA7 (EC 7.6.2.1) (ABCA-SSN) (ATP-binding cassette sub-family A member 7) (Autoantigen SS-N) (Macrophage ABC transporter)	ABCA7	Homo sapiens (Human)	2146
ENSP00000342216	ENSP00000342216 -> Q8IUA7-1	Q8IUA7	ABCA9_HUMAN	reviewed	ATP-binding cassette sub-family A member 9	ABCA9	Homo sapiens (Human)	1624
